class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
tianxuanhua	0.712002	0.768280	0.831777						
background	0.989799	0.995921	0.994873	0.977779	0.684215	0.768355	0.792045	1856	9
abuth	0.904340	0.966818	0.949767						
canger	0.731859	0.942347	0.845171						
cotton	0.576801	0.775387	0.731609						
longkui	0.814473	0.922283	0.897752						
machixian	0.388637	0.395933	0.559739						
niujincao	0.357792	0.376822	0.527020						
tianxuanhua	0.710023	0.771329	0.830425						
background	0.989812	0.995832	0.994880	0.977674	0.683575	0.769354	0.791456	1888	9
abuth	0.901548	0.964006	0.948226						
canger	0.731105	0.940529	0.844669						
cotton	0.586451	0.793496	0.739324						
longkui	0.815531	0.934392	0.898394						
machixian	0.368986	0.373876	0.539065						
niujincao	0.369599	0.392324	0.539719						
tianxuanhua	0.705566	0.760377	0.827369						
background	0.989901	0.995885	0.994925	0.978253	0.692782	0.776444	0.798923	1920	9
abuth	0.904965	0.966453	0.950112						
canger	0.737415	0.937884	0.848865						
cotton	0.589285	0.797906	0.741573						
longkui	0.826986	0.924038	0.905301						
machixian	0.403245	0.410047	0.574732						
niujincao	0.365462	0.386178	0.535294						
tianxuanhua	0.725001	0.793164	0.840581						
background	0.989774	0.996017	0.994861	0.978837	0.699467	0.780168	0.805898	1952	9
abuth	0.907793	0.966925	0.951668						
canger	0.748861	0.929171	0.856399						
cotton	0.595479	0.795019	0.746458						
longkui	0.820086	0.924444	0.901151						
machixian	0.456964	0.471281	0.627282						
niujincao	0.372703	0.395388	0.543020						
tianxuanhua	0.704075	0.763101	0.826343						
background	0.989854	0.996089	0.994901	0.978945	0.702771	0.784005	0.807931	1984	10
abuth	0.911289	0.967649	0.953586						
canger	0.734896	0.936624	0.847193						
cotton	0.583067	0.762218	0.736630						
longkui	0.825555	0.910879	0.904443						
machixian	0.494697	0.511440	0.661936						
niujincao	0.351024	0.366500	0.519642						
tianxuanhua	0.731783	0.820642	0.845121						
background	0.989899	0.996130	0.994924	0.978702	0.699923	0.783810	0.805751	2016	10
abuth	0.905403	0.967695	0.950353						
canger	0.738778	0.932061	0.849767						
cotton	0.589214	0.771206	0.741516						
longkui	0.828528	0.917339	0.906224						
machixian	0.448091	0.459115	0.618872						
niujincao	0.371585	0.389504	0.541833						
tianxuanhua	0.727886	0.837429	0.842516						
background	0.989868	0.996191	0.994908	0.978314	0.695821	0.778993	0.802460	2048	10
abuth	0.904843	0.964285	0.950045						
canger	0.726808	0.940756	0.841794						
cotton	0.582263	0.761246	0.735988						
longkui	0.825450	0.910682	0.904380						
machixian	0.434695	0.443528	0.605975						
niujincao	0.371908	0.390913	0.542177						
tianxuanhua	0.730730	0.824342	0.844418						
background	0.989757	0.996333	0.994852	0.978344	0.696773	0.778688	0.803597	2080	10
abuth	0.905190	0.961863	0.950236						
canger	0.724217	0.940653	0.840053						
cotton	0.581514	0.755301	0.735389						
longkui	0.824692	0.906262	0.903925						
machixian	0.453906	0.464229	0.624395						
niujincao	0.368126	0.386083	0.538146						
tianxuanhua	0.726785	0.818780	0.841778						
background	0.989875	0.996161	0.994912	0.977980	0.689512	0.774384	0.796004	2112	10
abuth	0.901833	0.965657	0.948383						
canger	0.734928	0.934969	0.847215						
cotton	0.577121	0.776779	0.731866						
longkui	0.827833	0.912570	0.905808						
machixian	0.400094	0.407239	0.571525						
niujincao	0.356926	0.372592	0.526081						
tianxuanhua	0.727482	0.829105	0.842245						
background	0.989931	0.996142	0.994940	0.978303	0.694544	0.779411	0.800706	2144	10
abuth	0.903826	0.966770	0.949484						
canger	0.740909	0.930159	0.851175						
cotton	0.581577	0.786457	0.735440						
longkui	0.829119	0.915053	0.906578						
machixian	0.400348	0.406897	0.571783						
niujincao	0.383059	0.403219	0.553930						
tianxuanhua	0.727586	0.830589	0.842315						
background	0.990012	0.995750	0.994981	0.978441	0.695383	0.779645	0.801701	2176	10
abuth	0.904767	0.971024	0.950003						
canger	0.735654	0.935253	0.847697						
cotton	0.586077	0.778006	0.739027						
longkui	0.826362	0.924763	0.904927						
machixian	0.428283	0.437040	0.599718						
niujincao	0.366488	0.384839	0.536394						
tianxuanhua	0.725426	0.810485	0.840866						
background	0.989864	0.996186	0.994906	0.978618	0.699221	0.782543	0.805663	2208	11
abuth	0.907165	0.962988	0.951323						
canger	0.731256	0.939552	0.844769						
cotton	0.586310	0.768048	0.739212						
longkui	0.826408	0.924622	0.904954						
machixian	0.452920	0.461597	0.623462						
niujincao	0.376950	0.396659	0.547514						
tianxuanhua	0.722900	0.810693	0.839166						
background	0.989909	0.996087	0.994929	0.978399	0.693706	0.776932	0.800036	2240	11
abuth	0.905194	0.968840	0.950238						
canger	0.739211	0.932676	0.850053						
cotton	0.584873	0.780740	0.738069						
longkui	0.824607	0.918650	0.903874						
machixian	0.420791	0.428841	0.592333						
niujincao	0.361853	0.378153	0.531412						
tianxuanhua	0.723211	0.811471	0.839376						
background	0.989937	0.996059	0.994943	0.978762	0.699815	0.783091	0.805496	2272	11
abuth	0.908943	0.964246	0.952300						
canger	0.735394	0.938326	0.847524						
cotton	0.588493	0.785183	0.740945						
longkui	0.825260	0.922570	0.904266						
machixian	0.465138	0.474135	0.634941						
