Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
Epoch 77, Itrs 4910/10000, Loss=0.052502
Epoch 77, Itrs 4920/10000, Loss=0.042410
Epoch 78, Itrs 4930/10000, Loss=0.083962
Epoch 78, Itrs 4940/10000, Loss=0.079879
Epoch 78, Itrs 4950/10000, Loss=0.075222
Epoch 78, Itrs 4960/10000, Loss=0.059281
Epoch 78, Itrs 4970/10000, Loss=0.068183
Epoch 78, Itrs 4980/10000, Loss=0.078988
Epoch 78, Itrs 4990/10000, Loss=0.087156
Epoch 79, Itrs 5000/10000, Loss=0.034228
Epoch 79, Itrs 5010/10000, Loss=0.143882
Epoch 79, Itrs 5020/10000, Loss=0.110469
Epoch 79, Itrs 5030/10000, Loss=0.056168
Epoch 79, Itrs 5040/10000, Loss=0.056509
Epoch 79, Itrs 5050/10000, Loss=0.052063
Epoch 80, Itrs 5060/10000, Loss=0.069682
Epoch 80, Itrs 5070/10000, Loss=0.047841
Epoch 80, Itrs 5080/10000, Loss=0.046322
Epoch 80, Itrs 5090/10000, Loss=0.105074
Epoch 80, Itrs 5100/10000, Loss=0.047841
Epoch 80, Itrs 5110/10000, Loss=0.047796
Epoch 80, Itrs 5120/10000, Loss=0.050746
Epoch 81, Itrs 5130/10000, Loss=0.041573
Epoch 81, Itrs 5140/10000, Loss=0.123325
